Index,FireTruck2,Rescue_veh,Water truc,Ambulance,compact,X,Y,vehicles_list,"X,Y",potential
0,2,1,2,0,0.276666667,72.8352,19.00585,"[2, 1, 2, 0]","(72.8352, 19.00585)",1
1,1,0,0,0,0.026888889,72.858,19.00615,"[1, 0, 0, 0]","(72.858, 19.00615)",1
2,1,0,0,0,0.004888889,72.86082515,19.00614211,"[1, 0, 0, 0]","(72.86082515, 19.00614211)",1
3,1,0,0,0,0.004888889,72.86368333,19.00618333,"[1, 0, 0, 0]","(72.86368333, 19.00618333)",0
4,1,0,0,0,0.024444444,72.86087485,19.00345789,"[1, 0, 0, 0]","(72.86087485, 19.00345789)",1
5,1,0,0,0,0.094888889,72.81247485,19.00015789,"[1, 0, 0, 0]","(72.81247485, 19.00015789)",1
6,5,0,0,0,0.433333333,72.81817485,19.00025789,"[5, 0, 0, 0]","(72.81817485, 19.00025789)",1
7,1,0,0,0,0.28177777800000003,72.85807455,19.00070788,"[1, 0, 0, 0]","(72.85807455, 19.00070788)",1
8,1,0,0,0,0.098,72.86092515,19.0007421,"[1, 0, 0, 0]","(72.86092515, 19.0007421)",1
9,1,0,0,0,0.364888889,72.81252515,18.9974421,"[1, 0, 0, 0]","(72.81252515, 18.9974421)",1
10,1,0,0,0,0.245555556,72.81822515,18.99754211,"[1, 0, 0, 0]","(72.81822515, 18.99754211)",1
11,1,0,0,0,0.569333333,72.8467,18.99785,"[1, 0, 0, 0]","(72.8467, 18.99785)",1
12,1,0,0,0,0.433333333,72.81257485,18.99475789,"[1, 0, 0, 0]","(72.81257485, 18.99475789)",1
13,1,0,0,0,0.281111111,72.81826607,18.99483274,"[1, 0, 0, 0]","(72.81826607, 18.99483274)",1
14,5,0,0,0,0.253777778,72.85527485,18.99525789,"[5, 0, 0, 0]","(72.85527485, 18.99525789)",1
15,1,0,0,0,0.004888889,72.85813393,18.99526726,"[1, 0, 0, 0]","(72.85813393, 18.99526726)",1
16,1,0,0,0,0.339111111,72.8126,18.99205,"[1, 0, 0, 0]","(72.8126, 18.99205)",1
17,1,0,0,0,0.18,72.82682545,18.99219212,"[1, 0, 0, 0]","(72.82682545, 18.99219212)",1
18,1,0,0,0,0.24688888899999997,72.85532515,18.9925421,"[1, 0, 0, 0]","(72.85532515, 18.9925421)",1
19,1,0,0,0,0.012222222,72.8582,18.98985,"[1, 0, 0, 0]","(72.8582, 18.98985)",0
20,1,0,0,0,0.055999999999999994,72.81267485,18.9866579,"[1, 0, 0, 0]","(72.81267485, 18.9866579)",0
21,1,0,0,0,0.048888889000000005,72.81837455,18.98670788,"[1, 0, 0, 0]","(72.81837455, 18.98670788)",1
22,1,0,0,0,0.073333333,72.8497,18.98705,"[1, 0, 0, 0]","(72.8497, 18.98705)",1
23,1,0,0,0,0.036666667,72.85822515,18.98714211,"[1, 0, 0, 0]","(72.85822515, 18.98714211)",1
24,1,0,0,0,0.023333332999999998,72.81555,18.98395,"[1, 0, 0, 0]","(72.81555, 18.98395)",1
25,1,0,0,0,0.004888889,72.81840848,18.98397515,"[1, 0, 0, 0]","(72.81840848, 18.98397515)",0
26,1,0,0,0,0.036666667,72.85827485,18.9844579,"[1, 0, 0, 0]","(72.85827485, 18.9844579)",1
27,1,0,0,0,0.023333332999999998,72.81272545,18.98119212,"[1, 0, 0, 0]","(72.81272545, 18.98119212)",0
28,4,2,3,1,0.164444444,72.83267485,18.98145789,"[4, 2, 3, 1]","(72.83267485, 18.98145789)",1
29,2,1,1,0,0.19555555600000002,72.85262515,18.981642100000002,"[2, 1, 1, 0]","(72.85262515, 18.981642100000002)",1
30,1,0,0,0,0.171111111,72.85547455,18.98170788,"[1, 0, 0, 0]","(72.85547455, 18.98170788)",1
31,1,0,0,0,0.189777778,72.8583,18.98175,"[1, 0, 0, 0]","(72.8583, 18.98175)",1
32,1,0,0,0,0.027999999999999997,72.86115,18.98175,"[1, 0, 0, 0]","(72.86115, 18.98175)",0
33,1,1,1,0,0.19111111100000003,72.80707485,18.9784579,"[1, 1, 1, 0]","(72.80707485, 18.9784579)",0
34,1,0,1,0,0.10111111099999999,72.80992515,18.97844211,"[1, 0, 1, 0]","(72.80992515, 18.97844211)",1
35,1,0,0,0,0.037333332999999996,72.81277455,18.97850788,"[1, 0, 0, 0]","(72.81277455, 18.97850788)",1
36,1,0,0,0,0.046666667,72.81562515,18.97854211,"[1, 0, 0, 0]","(72.81562515, 18.97854211)",1
37,1,0,0,0,0.094444444,72.82132545,18.97859212,"[1, 0, 0, 0]","(72.82132545, 18.97859212)",0
38,1,0,0,0,0.062222222,72.82417485,18.97865789,"[1, 0, 0, 0]","(72.82417485, 18.97865789)",1
39,1,0,0,0,0.265555556,72.82702515,18.97864211,"[1, 0, 0, 0]","(72.82702515, 18.97864211)",1
40,1,0,0,0,0.009333333000000001,72.83555,18.97875,"[1, 0, 0, 0]","(72.83555, 18.97875)",1
41,1,0,0,0,0.023333332999999998,72.8555,18.979,"[1, 0, 0, 0]","(72.8555, 18.979)",0
42,1,0,0,0,0.07777777799999999,72.80428333,18.97568333,"[1, 0, 0, 0]","(72.80428333, 18.97568333)",1
43,1,0,0,0,0.042,72.81564121,18.97582485,"[1, 0, 0, 0]","(72.81564121, 18.97582485)",0
44,1,0,0,0,0.31,72.82135879,18.97587515,"[1, 0, 0, 0]","(72.82135879, 18.97587515)",0
45,1,0,0,0,0.315555556,72.84981667,18.97621667,"[1, 0, 0, 0]","(72.84981667, 18.97621667)",1
46,1,0,0,0,0.10044444400000001,72.83277455,18.97330788,"[1, 0, 0, 0]","(72.83277455, 18.97330788)",1
47,1,0,0,0,0.171111111,72.84705,18.97075,"[1, 0, 0, 0]","(72.84705, 18.97075)",1
48,1,0,0,0,0.408888889,72.8243,18.9678,"[1, 0, 0, 0]","(72.8243, 18.9678)",1
49,1,1,1,0,0.11822222199999999,72.80156607,18.96483274,"[1, 1, 1, 0]","(72.80156607, 18.96483274)",0
50,1,0,0,0,0.023333332999999998,72.84998333,18.96538333,"[1, 0, 0, 0]","(72.84998333, 18.96538333)",0
51,2,2,2,1,0.295555556,72.80442515,18.96214211,"[2, 2, 2, 1]","(72.80442515, 18.96214211)",1
52,4,0,0,0,0.178888889,72.80727485,18.96215789,"[4, 0, 0, 0]","(72.80727485, 18.96215789)",1
53,1,0,0,0,0.036666667,72.84147485,18.9625579,"[1, 0, 0, 0]","(72.84147485, 18.9625579)",1
54,1,0,0,0,0.048888889000000005,72.84432545,18.96259212,"[1, 0, 0, 0]","(72.84432545, 18.96259212)",1
55,4,0,0,0,0.046666667,72.80447485,18.95945789,"[4, 0, 0, 0]","(72.80447485, 18.95945789)",0
56,1,0,0,0,0.08866666699999999,72.84435,18.9599,"[1, 0, 0, 0]","(72.84435, 18.9599)",1
57,4,0,0,0,0.048888889000000005,72.8472,18.95995,"[4, 0, 0, 0]","(72.8472, 18.95995)",1
58,1,0,0,0,0.12733333300000002,72.79596607,18.95663274,"[1, 0, 0, 0]","(72.79596607, 18.95663274)",0
59,4,0,0,0,0.027999999999999997,72.80451667,18.95671667,"[4, 0, 0, 0]","(72.80451667, 18.95671667)",0
60,1,0,0,0,0.22555555600000002,72.83866607,18.95713274,"[1, 0, 0, 0]","(72.83866607, 18.95713274)",1
61,4,0,0,0,0.015555556000000002,72.79317485,18.95385789,"[4, 0, 0, 0]","(72.79317485, 18.95385789)",0
62,1,0,0,0,0.11666666699999999,72.80455,18.954,"[1, 0, 0, 0]","(72.80455, 18.954)",1
63,4,0,0,0,0.042,72.81307455,18.95410788,"[4, 0, 0, 0]","(72.81307455, 18.95410788)",1
64,4,0,0,0,0.007333333,72.84442515,18.95444211,"[4, 0, 0, 0]","(72.84442515, 18.95444211)",1
65,3,0,0,0,0.149333333,72.79887485,18.95125789,"[3, 0, 0, 0]","(72.79887485, 18.95125789)",1
66,4,0,0,0,0.161777778,72.80457455,18.95130788,"[4, 0, 0, 0]","(72.80457455, 18.95130788)",1
67,1,0,0,0,0.009777778,72.84445,18.95175,"[1, 0, 0, 0]","(72.84445, 18.95175)",1
68,4,0,0,0,0.15555555599999998,72.79892515,18.94854211,"[4, 0, 0, 0]","(72.79892515, 18.94854211)",1
69,1,0,0,0,0.007777778000000001,72.81887485,18.94875789,"[1, 0, 0, 0]","(72.81887485, 18.94875789)",0
70,4,0,0,0,0.10822222199999999,72.8217,18.9488,"[4, 0, 0, 0]","(72.8217, 18.9488)",1
71,1,0,0,0,0.009333333000000001,72.82173393,18.94606726,"[1, 0, 0, 0]","(72.82173393, 18.94606726)",1
72,1,0,0,0,0.014666667,72.83883393,18.94626726,"[1, 0, 0, 0]","(72.83883393, 18.94626726)",1
73,1,0,0,0,0.022000000000000002,72.84452515,18.94634211,"[1, 0, 0, 0]","(72.84452515, 18.94634211)",0
74,4,0,0,0,0.056444444,72.7933,18.94305,"[4, 0, 0, 0]","(72.7933, 18.94305)",0
75,1,0,0,0,0.032666667,72.79615,18.94305,"[1, 0, 0, 0]","(72.79615, 18.94305)",0
76,1,0,0,0,0.004888889,72.82177485,18.9433579,"[1, 0, 0, 0]","(72.82177485, 18.9433579)",0
77,1,0,0,0,0.18666666699999998,72.83887485,18.94355789,"[1, 0, 0, 0]","(72.83887485, 18.94355789)",1
78,1,0,0,0,0.007333333,72.8417,18.9436,"[1, 0, 0, 0]","(72.8417, 18.9436)",0
79,1,0,0,0,0.007333333,72.84455,18.94365,"[1, 0, 0, 0]","(72.84455, 18.94365)",0
80,1,0,0,0,0.046666667,72.79332515,18.94034211,"[1, 0, 0, 0]","(72.79332515, 18.94034211)",1
81,1,0,0,0,0.098,72.82467455,18.94070788,"[1, 0, 0, 0]","(72.82467455, 18.94070788)",1
82,1,0,0,0,0.013999999999999999,72.83035,18.94075,"[1, 0, 0, 0]","(72.83035, 18.94075)",1
83,1,0,0,0,0.004888889,72.84172545,18.94089212,"[1, 0, 0, 0]","(72.84172545, 18.94089212)",0
84,1,0,0,0,0.004888889,72.84457485,18.94095789,"[1, 0, 0, 0]","(72.84457485, 18.94095789)",0
85,1,0,0,0,0.108888889,72.8247,18.938,"[1, 0, 0, 0]","(72.8247, 18.938)",1
86,1,0,0,0,0.019555556,72.83037485,18.93805789,"[1, 0, 0, 0]","(72.83037485, 18.93805789)",1
87,1,0,0,0,0.014666667,72.84177455,18.93820788,"[1, 0, 0, 0]","(72.84177455, 18.93820788)",0
88,3,0,0,0,0.009333333000000001,72.84462515,18.9382421,"[3, 0, 0, 0]","(72.84462515, 18.9382421)",0
89,1,0,0,0,0.161777778,72.83042515,18.93534211,"[1, 0, 0, 0]","(72.83042515, 18.93534211)",1
90,1,0,0,0,0.013999999999999999,72.82192515,18.93254211,"[1, 0, 0, 0]","(72.82192515, 18.93254211)",1
91,1,0,0,0,0.11666666699999999,72.8276,18.9326,"[1, 0, 0, 0]","(72.8276, 18.9326)",1
92,1,0,0,0,0.07311111099999999,72.82195,18.92985,"[1, 0, 0, 0]","(72.82195, 18.92985)",1
93,1,0,0,0,0.031111111,72.81913393,18.92706726,"[1, 0, 0, 0]","(72.81913393, 18.92706726)",1
94,1,0,0,0,0.06044444400000001,72.82482515,18.92714211,"[1, 0, 0, 0]","(72.82482515, 18.92714211)",1
95,2,0,0,0,0.045111110999999995,72.81917485,18.92435789,"[2, 0, 0, 0]","(72.81917485, 18.92435789)",1
96,1,0,0,0,0.105777778,72.82775,18.92175,"[1, 0, 0, 0]","(72.82775, 18.92175)",1
97,1,0,0,0,0.015555556000000002,72.8164,18.91895,"[1, 0, 0, 0]","(72.8164, 18.91895)",1
98,4,0,0,0,0.037333332999999996,72.83347485,18.91915789,"[4, 0, 0, 0]","(72.83347485, 18.91915789)",1
99,1,0,0,0,0.062222222,72.81641667,18.91621667,"[1, 0, 0, 0]","(72.81641667, 18.91621667)",1
100,1,1,1,0,0.2,72.82213393,18.91626726,"[1, 1, 1, 0]","(72.82213393, 18.91626726)",1
101,2,1,2,0,0.39,72.81077485,18.91345789,"[2, 1, 2, 0]","(72.81077485, 18.91345789)",1
102,2,2,2,1,0.378444444,72.81647455,18.91350788,"[2, 2, 2, 1]","(72.81647455, 18.91350788)",1
103,1,0,0,0,0.093333333,72.82785,18.91365,"[1, 0, 0, 0]","(72.82785, 18.91365)",1
104,2,2,2,0,0.313333333,72.80797455,18.91070788,"[2, 2, 2, 0]","(72.80797455, 18.91070788)",1
105,1,0,0,0,0.07,72.82502545,18.91089212,"[1, 0, 0, 0]","(72.82502545, 18.91089212)",1
106,1,1,1,0,0.14622222199999999,72.80800848,18.90797515,"[1, 1, 1, 0]","(72.80800848, 18.90797515)",1
107,1,1,1,0,0.137333333,72.81367485,18.90805789,"[1, 1, 1, 0]","(72.81367485, 18.90805789)",1
108,1,0,0,0,0.069777778,72.81653393,18.90806726,"[1, 0, 0, 0]","(72.81653393, 18.90806726)",1
109,1,0,0,0,0.032666667,72.81936607,18.90813274,"[1, 0, 0, 0]","(72.81936607, 18.90813274)",1
110,1,0,0,0,0.007333333,72.81372515,18.9053421,"[1, 0, 0, 0]","(72.81372515, 18.9053421)",1
111,1,0,0,0,0.033111111,72.81657485,18.90535789,"[1, 0, 0, 0]","(72.81657485, 18.90535789)",1
112,1,0,0,0,0.096444444,72.80522515,18.90254211,"[1, 0, 0, 0]","(72.80522515, 18.90254211)",1
113,4,0,0,0,0.47444444399999997,72.81526607,19.00563274,"[4, 0, 0, 0]","(72.81526607, 19.00563274)",1
114,1,0,0,0,0.217777778,72.81812515,19.0056421,"[1, 0, 0, 0]","(72.81812515, 19.0056421)",1
115,1,0,0,0,0.373333333,72.82097455,19.00570788,"[1, 0, 0, 0]","(72.82097455, 19.00570788)",1
116,1,0,0,0,0.27,72.82382515,19.0057421,"[1, 0, 0, 0]","(72.82382515, 19.0057421)",1
117,4,0,0,0,0.149333333,72.82667485,19.00575789,"[4, 0, 0, 0]","(72.82667485, 19.00575789)",1
118,1,0,0,0,0.272222222,72.82952545,19.00579212,"[1, 0, 0, 0]","(72.82952545, 19.00579212)",1
119,1,0,0,0,0.42666666700000005,72.83237485,19.0058579,"[1, 0, 0, 0]","(72.83237485, 19.0058579)",1
120,1,0,0,0,0.5,72.83805,19.0059,"[1, 0, 0, 0]","(72.83805, 19.0059)",1
121,1,0,0,0,0.49777777799999995,72.8409,19.00595,"[1, 0, 0, 0]","(72.8409, 19.00595)",1
122,1,0,0,0,0.521111111,72.84375,19.00595,"[1, 0, 0, 0]","(72.84375, 19.00595)",1
123,3,3,3,1,0.7002222220000001,72.8466,19.006,"[3, 3, 3, 1]","(72.8466, 19.006)",1
124,1,0,0,0,0.484444444,72.84945,19.00605,"[1, 0, 0, 0]","(72.84945, 19.00605)",1
125,1,0,0,0,0.237333333,72.8523,19.00605,"[1, 0, 0, 0]","(72.8523, 19.00605)",1
126,1,0,0,0,0.439555556,72.85515,19.0061,"[1, 0, 0, 0]","(72.85515, 19.0061)",1
127,1,0,0,0,0.107333333,72.81245,19.00285,"[1, 0, 0, 0]","(72.81245, 19.00285)",1
128,1,0,0,0,0.272222222,72.81529152,19.00292485,"[1, 0, 0, 0]","(72.81529152, 19.00292485)",1
129,4,0,0,0,0.402888889,72.81815,19.00295,"[4, 0, 0, 0]","(72.81815, 19.00295)",1
130,1,0,0,0,0.49,72.82100848,19.00297515,"[1, 0, 0, 0]","(72.82100848, 19.00297515)",1
131,1,0,0,0,0.218,72.82384121,19.00302485,"[1, 0, 0, 0]","(72.82384121, 19.00302485)",1
132,1,0,0,0,0.150888889,72.8267,19.00305,"[1, 0, 0, 0]","(72.8267, 19.00305)",1
133,1,0,0,0,0.42,72.82955879,19.00307515,"[1, 0, 0, 0]","(72.82955879, 19.00307515)",1
134,1,0,0,0,0.19555555600000002,72.83239152,19.00312485,"[1, 0, 0, 0]","(72.83239152, 19.00312485)",1
135,1,0,0,0,0.171111111,72.83522515,19.00314211,"[1, 0, 0, 0]","(72.83522515, 19.00314211)",1
136,1,0,0,0,0.525555556,72.83808333,19.00318333,"[1, 0, 0, 0]","(72.83808333, 19.00318333)",1
137,1,0,0,0,0.42,72.84091667,19.00321667,"[1, 0, 0, 0]","(72.84091667, 19.00321667)",1
138,1,0,0,0,0.252,72.84377485,19.00325789,"[1, 0, 0, 0]","(72.84377485, 19.00325789)",1
139,2,1,2,0,0.194444444,72.84663393,19.00326726,"[2, 1, 2, 0]","(72.84663393, 19.00326726)",1
140,1,0,0,0,0.566666667,72.84946607,19.00333274,"[1, 0, 0, 0]","(72.84946607, 19.00333274)",1
141,1,0,0,0,0.10266666699999999,72.85232515,19.00334211,"[1, 0, 0, 0]","(72.85232515, 19.00334211)",1
142,1,0,0,0,0.255111111,72.85518333,19.00338333,"[1, 0, 0, 0]","(72.85518333, 19.00338333)",1
143,1,0,0,0,0.039111111000000004,72.85801667,19.00341667,"[1, 0, 0, 0]","(72.85801667, 19.00341667)",1
144,1,0,0,0,0.551111111,72.81532545,19.00019212,"[1, 0, 0, 0]","(72.81532545, 19.00019212)",1
145,1,0,0,0,0.456666667,72.82102515,19.0002421,"[1, 0, 0, 0]","(72.82102515, 19.0002421)",1
146,1,0,0,0,0.264444444,72.82387455,19.00030788,"[1, 0, 0, 0]","(72.82387455, 19.00030788)",1
147,1,2,1,0,0.15555555599999998,72.82672515,19.00034211,"[1, 2, 1, 0]","(72.82672515, 19.00034211)",1
148,1,0,0,0,0.165555556,72.82957485,19.0003579,"[1, 0, 0, 0]","(72.82957485, 19.0003579)",1
149,1,0,0,0,0.187555556,72.83242545,19.00039212,"[1, 0, 0, 0]","(72.83242545, 19.00039212)",1
150,1,0,0,0,0.24111111100000002,72.83812515,19.00044211,"[1, 0, 0, 0]","(72.83812515, 19.00044211)",1
151,3,2,2,1,0.617111111,72.84097455,19.00050788,"[3, 2, 2, 1]","(72.84097455, 19.00050788)",1
152,1,0,0,0,0.662222222,72.84382515,19.00054211,"[1, 0, 0, 0]","(72.84382515, 19.00054211)",1
153,1,2,2,1,0.47333333299999997,72.84667485,19.00055789,"[1, 2, 2, 1]","(72.84667485, 19.00055789)",1
